Name,P1,P2,P3,r/d,D/d,k
448,18.145,139.93,20.606276,0.3629,2.7986,2.0606276
449,18.18,140.12,20.401806,0.3636,2.8024,2.0401806
450,18.215,140.31,20.224168,0.3643,2.8062,2.0224168
451,18.25,140.5,20.3882835,0.365,2.81,2.03882835
452,18.285,140.69,20.318621,0.3657,2.8138,2.0318621
453,18.32,140.88,20.335974,0.3664,2.8176,2.0335974
454,18.355,141.07,20.3372835,0.3671,2.8214,2.03372835
455,18.39,141.26,20.172479,0.3678,2.8252,2.0172479
456,18.425,141.45,20.420022,0.3685,2.829,2.0420022
457,18.46,141.64,20.418699,0.3692,2.8328,2.0418699
458,18.495,141.83,20.3222885,0.3699,2.8366,2.03222885
459,18.53,142.02,20.258366,0.3706,2.8404,2.0258366
460,18.565,142.21,20.3469365,0.3713,2.8442,2.03469365
461,18.6,142.4,20.265163,0.372,2.848,2.0265163
462,18.635,142.59,20.378409,0.3727,2.8518,2.0378409
463,18.67,142.78,19.9306555,0.3734,2.8556,1.99306555
464,18.705,142.97,20.087257,0.3741,2.8594,2.0087257
465,18.74,143.16,20.36462,0.3748,2.8632,2.036462
466,18.775,143.35,20.1372225,0.3755,2.867,2.01372225
467,18.81,143.54,20.40007,0.3762,2.8708,2.040007
468,18.845,143.73,20.2943355,0.3769,2.8746,2.02943355
469,18.88,143.92,20.2447595,0.3776,2.8784,2.02447595
470,18.915,144.11,20.1676365,0.3783,2.8822,2.01676365
471,18.95,144.3,20.2141735,0.379,2.886,2.02141735
472,18.985,144.49,20.263827,0.3797,2.8898,2.0263827
473,19.02,144.68,20.1238695,0.3804,2.8936,2.01238695
474,19.055,144.87,20.020952,0.3811,2.8974,2.0020952
475,19.09,145.06,20.2696135,0.3818,2.9012,2.02696135
476,19.125,145.25,20.288056,0.3825,2.905,2.0288056
477,19.16,145.44,20.156246,0.3832,2.9088,2.0156246
478,19.195,145.63,20.153298,0.3839,2.9126,2.0153298
479,19.23,145.82,20.1395005,0.3846,2.9164,2.01395005
480,19.265,146.01,20.1042535,0.3853,2.9202,2.01042535
481,19.3,146.2,20.074093,0.386,2.924,2.0074093
482,19.335,146.39,20.0544795,0.3867,2.9278,2.00544795
483,19.37,146.58,20.0215695,0.3874,2.9316,2.00215695
484,19.405,146.77,20.135926,0.3881,2.9354,2.0135926
485,19.44,146.96,20.050926,0.3888,2.9392,2.0050926
486,19.475,147.15,19.9697415,0.3895,2.943,1.99697415
487,19.51,147.34,20.107667,0.3902,2.9468,2.0107667
488,19.545,147.53,19.96495,0.3909,2.9506,1.996495
489,19.58,147.72,19.975881,0.3916,2.9544,1.9975881
490,19.615,147.91,19.9992015,0.3923,2.9582,1.99992015
491,19.65,148.1,20.01083825,0.393,2.962,2.001083825
492,19.685,148.29,19.7946035,0.3937,2.9658,1.97946035
493,19.72,148.48,19.6555385,0.3944,2.9696,1.96555385
494,19.755,148.67,19.8733025,0.3951,2.9734,1.98733025
495,19.79,148.86,20.054883,0.3958,2.9772,2.0054883
496,19.825,149.05,19.902394,0.3965,2.981,1.9902394
497,19.86,149.24,19.9272025,0.3972,2.9848,1.99272025
498,19.895,149.43,19.85212,0.3979,2.9886,1.985212
499,19.93,149.62,19.837246,0.3986,2.9924,1.9837246
500,19.965,149.81,19.9160765,0.3993,2.9962,1.99160765
501,20,150,19.9091255,0.4,3,1.99091255
